Product Name,Cost Price,Selling Price
Pushbutton 02-01,1,2
Pushbutton 01,1,2
Pushbutton Green+Red,2,4
Pushbutton Square,1.8,4
Pushbutton Red,1,2
Pushbutton Green,1,2
غطا ماجيك مسكر,0.35,0.7
Spray WD40 Large,3.75,6
Spray WD40 small,2.4,4
موتير مروحة تايواني,9,13
موتير مروحة صيني,8,12
Ingco مقدح 12v شنطة,27,36
Ingco Blower 400w,14,22
Ingco لانس بطارية,48,58
متر اصفر فييتنامي,0.85,2
Conan شفرة سكينة,0.65,1.5
حرامي Cosmostar,0.75,1.5
Konnice LED Bulb 20w QB3,1.25,2.2
راسور تسحيب اصفر 50m,15,22
راسور تسحيب اصفر 30m,7,14
قاعدة رباط تلزيق صغير,1.5,3
قاعدة رباط تلزيق كبير,3,5
بوبين 60uf,3.25,6.5
بوبين 55uf,2.9,6
بوبين 50uf,2.8,6
بوبين 40uf,2.2,4.5
بوبين 30uf,1.65,3
بوبين 35uf,1.9,4
بوبين 25uf,1.4,3
بوبين 20uf,1.2,2.5
بوبين 18uf,1.1,2
بوبين 16uf,1,2
بوبين 14uf,1,2
بوبين 12.5uf,1,2
بوبين 10uf,0.7,2
دجنتير مفرد DLXS 5A,1.8,3
دجنتير 4PH 32A Aelifv,3.5,6
Profil JH003A مع شفة,1.15,1.5
Konnice LED Bulb 50w TB3,2.75,5
Konnice LED Bulb 60w QB3,3.5,5.5
Konnice LED Bulb 40w QB3,2.25,4
ABCD remote,4,8
Car starter Digital,28,36
Car starter مع منفخ,24,34
Keychain light,1,2
ضوء راس 815,4,7
Pocket Light مع قداحة 5137,2.5,5.5
جرس wireless,2.25,4
LED Fan Light RAMA,10.5,15
LED USB stick Small,2.5,5
LED USB stick Medium,3.5,6
LED USB stick Large,5,7
battery 4v-4A,3,5
رسيفر 2090 SR,8,12
JTC 8332,7,12
battery 4v-1.6A,1.5,3
battery 6v-1.6A,2,4
UPS battery,5,7
بارفاز 3p-2p,7,10
بروجكتير سكة 20w,5,8
بروجكتير سكة 35w,6,9
كوع تراك,1.5,2.2
وصلة تراك,1.25,2
سكة بروجكتير 2m,4,7
سكة بروجكتير 1.5m,3,6
سكة بروجكتير 1m,2,4
LED Stik 15w,0.9,2
LED Stik 9w,0.75,1.5
شاسيه تلفزيون متحرك,37,42
دفرنسيال ABB 2x25A 30ma,35,40
3xe27 Ceiling,10,15
oval globe Hiblo شبك,2.5,5
French Globe,3.25,6
mr16 German 4200k,0.6,1.2
وصلة بشريط 3way Original 1.5m,2.5,6
Airplus 106cm,25,40
فيوز دولة,0.5,1
غطا دجنتير مجوز,0.55,1.5
Ingco علبة شفرات,0.45,1.1
Adawat مقدح 12v,17,25
Conan مقص تول,2.75,6
"Conan 6"" بوز طويل بنسا",1.75,4
Conan بنسا بوز رفيع mini,1.1,2.2
T9 120cm bspro,2.75,5.5
Frameless 48w Square ظاهر YGT,7.5,10.5
وصلة كهرباء 15 متر,5,9
وصلة كهرباء 10 أمتار,3.5,7
وصلة كهرباء 5 أمتار,2.35,5
صاروخ كهرباء Ingco 710w,18.5,25
INGCO مقدح كهرباء 680watt,18,28
جرس wireless vzorr,2.25,5
Conan طقم ريش 08131,3.15,7
INGCO مجوز طقم مفكات 0248,1.75,4
INGCO سكينة,2.25,6
INGCO كاوي 60w,6.8,10
INGCO شنطة قماش,3.5,7
INGCO heat gun,15,24
مرشة 2 ltr INGCO,3.5,6
16A فيش انثى اسود,0.55,1.1
16A فيش ذكر اسود,0.55,1.1
A70 LED Bulb 17w 4000k,0.65,1.5
بروجيكتر 50w Jif,5,10
Konnice بلاك عاجي,0.2,0.5
G4 LED Halogen 12v,0.45,1
فيش امركاني مبسط,0.3,0.55
INGCO مقدح كهرباء SDS 800w,34,44
Conan متر,0.95,2
Profil JH003,1,1.25
HDMI hoco 1m,2.5,5
Strip LED RGB L6 High Quality,8,15
Yesido Vacuum Cleaner,13,18
اسفين دق,1.1,2
Rope Chain 25m,15,23
